user_reputation,reply_count,thumbs_up,thumbs_down,best_score,text,stars
1,0,0,0,100,Tasty!,5
1,0,0,0,100,"As soon as I saw this on the cover of the magazine, I knew I was going to try this.  My whole family loved it.  It is also very easy to make.  I have made it several times.  Always make as written.",5
1,0,0,0,100,This recipe is great! I have never made bread before. Aside from quick breads like banana and zucchini. Its was easy and tastes AMAZING. Suzanne I don&#39;t see any reason the old fashioned way wouldn&#39;t work. It will just be a bit more effort on your part when it comes to the incorporating.,5
10,0,5,2,261,"@Sarah (from Dec. 16, 2019): What the recipe doesn’t explain very well in step 3 is that you follow the jello recipe on the box for the amount of boiling water to add, but you DO NOT add the cold water according to the box, and you instead add in the thawed berries. Otherwise the jello gets too runny. That’s what I think may have happened to your dessert.",0
1,0,0,0,100,"This was absolutely delish!   My whole family loved them, even the kids.   I made it a second time as a cake.  Takes at least twice the baking time as the cupcakes.  Well worth the wait.  Just wonderful.  It is not complicated, very easy to make.",5
1,0,0,0,100,"Really, really good.  Used 1/2 cup ea of butter &amp; flour as recommended.  Did not have frozen corn so substituted sauted mushrooms &amp; celery and did not use a bottom crust.  Poured a portion of it (kept remainder for another day) into an 8-1/2 x 9 dish, covered w/ one rolled out sheet of puff pastry, sprinkled w/ minced fresh parsley &amp; paprika, baked @ 375 for 70 min.  6 servings - our guests went back for seconds!  Great w/ double cheese bread &amp; spinach salad.  A keeper!",5
1,0,0,0,100,Thanks for that tip----didn&#39;t think about that-as I&#39;m sure other hadn&#39;t.,5
1,0,0,0,100,AWESOME!!!! Don&#39;t even bother trying to find a banana bread recipe better than this one! Won&#39;t happen. This is even better than mom&#39;s! (Don&#39;t tell her THAT though!),5
1,0,1,0,193,Excellent!  Made this for Christmas morning breakfast.  It was yummy!,5
1,0,0,0,100,"This is a very easy apple pie and delicious. I use orange juice if I don&#39;t have lemon . It is a good pie to make an impression, if you are a first time pie maker. The pie crust from a box is tasty. I have made this apple pie recipe a few times .",5
1,0,1,0,193,Hey Edward - go get your seeing-eye dog and have him read the recipe for you - sour cream is the last ingredient listed!  This is a great recipe - soup is wonderful!,5
1,0,1,1,142,"Such an easy recipe and very healthy. I added garlic and onions, used 2 1/2 C  chicken broth instead of water, and excluded the chicken/vegetable bouillon.",5
1,0,6,2,284,I agree with Chris. I can’t even make this recipe because there are so many ads popping up or covering things.  Very disappointing.,0
1,0,0,0,100,This chili was great!!  I will be making it again for sure.  I cooked mine in the crock pot and it was super easy.  ,5
1,0,1,0,193,"These were amazing. It was such a great way to use my brown bananas instead of making banana bread. I will say it didn&#39;t feel like a &#34;bar&#34; to me, but more like a shallow banana cake. It was a little dry to me, but I may have over baked it. The frosting  was delicious &amp; the two combined were such a great treat. I will make these again (for sure!) &amp; try to make them a little better on my end, such as not over baking. Great recipe.",5
1,0,0,0,100,"Works fine with whole wheat flour.  If you&#39;re crazy about pecans, use the 2 cups, or you could get by fine with 1 and not sprinkle them on top.~ Theresa",4
1,0,2,1,193,"This was a great recipe. I think next time I make it I will definitely add more meat, spices, and soy sauce. This recipe is a keeper!",4
1,0,0,1,100,"If you do not thaw the berries, it helps the gelatin set up better and it won&#39;t be runny.  My family prefers this made with raspberries.  I add some fresh berries along with the frozen and also use unsweetened berries.  Doing it this way, we never have a runny gelatin problem or have the dessert separate.",5
40,0,10,2,767,"This recipe has everything a person with a sweet tooth probably loves - peanut butter cups, pudding, whipped topping, and oreos.  I don&#39;t usually like peanut butter in things except a sandwich but for this delectable dessert I changed my mind!",5
1,0,0,0,100,"Came out perfectly . A very delicious chocolate cake , however not too happy with frosting and may put some cream cheese or something to it the next time.",5
1,0,0,0,100,"I always receive rave reviews when I make this, so it&#39;s worth the hassle. It&#39;s amazing in taste and visually stunning.",5
1,0,0,0,100,"This was an excellent recipe!! This recipe is now my husbands favorite. It was easy to make, but it did take me a little longer than 35 min. to make it. It was worth it though, because it was absolutely delicious. I  am going to make this when I have my next dinner party. This is definitely a keeper.",0
1,0,0,0,100,"I have tried many Banana Bread receipes, but this is the best tasting one yet.  Delicious!",5
80,0,4,0,329,"Fantastic flavorful chicken!  Hubby and I both loved it. I halved the marinade and made 4 boneless breasts.  I forgot to marinate it the night before, and it was still amazing.  A definite easy keeper.",5
1,0,0,0,100,As quick and easy to make as it is delicious.,5
1,0,0,0,100,This was delicious. I used only one can of chilis and used half and half instead of heavy cream. It was a hit in my family. Yum!,5
1,0,0,0,100,Great cookies! A tip: they are best after 2 or 3 days (you&#39;ll have to hide them though!),5
1,0,3,0,297,"I had doubts that this was going to turn out because the sauce ended up very thick.  It was almost like a paste, and I wasn&#39;t even able to simmer it for the whole hour because I was afraid it was going to burn.  However, the lasagna still tasted excellent even with the very thick sauce.  I think the next time, I will maybe use a can of diced tomatoes in place of one of the cans of sauce.  Also, I would wait to add the last layer of mozzarella cheese until after you uncover it, because most of the top layer of cheese ended up on the foil when I removed it.  I also used the no-cook noodles for this, and they came out great!",5
1,0,7,0,390,Very easy! Used flour tortillas and two- 8in square pans and worked great. I fit five enchiladas in each pan perfectly and each were filled generously. 10/10 will make again.,5
1,0,23,5,827,"Made this today for a group of cowboys, to go along with chili and cornmeal muffins. It was well received! This will be my go to salad recipe from now on! I may add cubed cheddar cheese for the next time and for a more summer type salad I&#39;ll try adding sliced grapes. Oh so yummy. Thank you!",5
1,0,1,1,142,With a few minor differences this has been a favorite recipe in my home and community for a good many years.  We use only 1 can of cherry filling--I cannot imagine how wet it would be with 2 cans.  Try using an apricot pie filling for another very special treat.   Haven&#39;t made them for quite some time but we all cut them to be a generous size so the yield is not 60 out of a jelly roll size pan.farmerjoy,5
1,0,0,0,100,"I make this frequently, both for dessert and for breakfast treats. It always goes fast!",5
1,0,0,1,100,Used a regular cake mix.........turned out as a nice looking dessert and everyone loved it.,5
1,0,0,0,100,"I&#39;ve made this many times.  Used ham, bacon, &amp; hot sausage.  I always use fresh potatoes.  For the lady that said her potatoes were brown, all you need to do is soak them in water as soon as you take them out of food processor.  It is so much cheaper this way instead of buying the frozen ones and I always have potatoes on hand.",5
1,0,2,0,253,"Great recipe! Everyone loves it and it&#39;s easy to make. I&#39;ve tried the recipe using flour tortillas and with corn tortillas. Both ways are  good, but my family prefers it with the corn tortillas.",5
1,0,2,1,193,"First time I made this as written and it was a bit too sweet for my taste, so next time I omitted the sugar (Jiffy mix already contains sugar) and it was 5 stars. I have since made it as a Tex-Mex side with the addition of a can of green chilies topped with Pepper Jack cheese. I also baked at 350 degrees for 50 minutes in order for it to set. Lynne, Volunteer Field Editor",4
1,0,0,0,100,Easy and wonderful recipe.  Its number one in my book!!!!,5
1,0,0,0,100,Fantastic!  I used nonfat plain Greek yogurt.  Very YUMMY!  Kids love this.,5
1,0,0,0,100,"My family loved this soup! It was very filling and easy to put together. I used the frozen cubed hash brown potatoes which was a huge time saver. I too used beef broth and two cans cheddar soup since it was what I had on hand instead of velveeta.Quick, easy, and delicious!",5
1,0,0,0,100,"Great recipe for a basic meatloaf. I used 2# hamburger and increased the other ingredients a little. I made 2 small loaves, and poured all of the sauce on top before I baked them. My family thought this was delicious. I&#39;ll definitely make this again.",5
1,0,0,0,100,This white chili is excellent!  I found this recipe in a Maine newspaper while on vacation many many years ago and clipped it out to take home to Virginia and try.  It was a big hit and since then we have won 1st Place in many Chili contests over the other traditional red chili&#39;s.  The men at my husbands work ask for me to make this every year when winter rolls around as a treat.  Definitely a keeper to impress the boss or anyone.,5
1,0,0,0,100,"I&#39;ve never made a pie before, and I used this Apple Pie Recipe as my first attempt and it turned out Great! YUM! :)",5
1,0,0,0,100,Delicioso!!  Awesome recipe.,5
1,0,0,0,100,"My family declared this the best chocolate cake ever!!  I used my own homemade frosting.  Sift 1/4 cup cocoa powder, 1 cup powdered sugar, 1 dash salt and cream with 1/4 cup Crisco or butter.  Add 1 whipped egg white.  A   great recipe - would not change a thing about the cake.",5
1,0,0,0,100,Tasty &amp; easy to make,5
1,0,0,0,100,This was great. My family loved it.,5
1,0,0,0,100,made with meat tortelli 2nd time  and was very good as well/ instead of sausage,5
1,0,0,0,100,"I treated just like a pizza and added to the top mushrooms, onions, the green pepper and turkey pepperoni.  It was great!!  I took it to a dog show and came home with an empty dish.  To make it healthy I used Turkey pepperoni and turkey sausage and pizza sauce instead of tomato sauce.",5
1,0,0,0,100,"Let me get this straight you use 3 packages of mixes but only 1/2 cup of water?  That just makes a paste right, it does not seem like that is enough fluid.",0
1,0,0,0,100,"LOVED this one. Except I left out the refried beans and mexican style tomatoes. Instead I used Fire Roasted Tomatoes, shredded lettuce, and added in Salsa. Top with sour cream. This one is to die for. I plan to make this again next week!",5
1,0,0,0,100,I make something very similar to this and my crew loves it.  Only difference is I use chicken broth instead of the bouillon and no bacon.   Good stuff!,5
1,0,2,1,193,"I love this meatloaf.  Very flavorful, and the leftovers are great as well.  This one&#39;s definitely a keeper!",5
1,0,0,0,100,"We liked this a lot, and will definitely make it again!  I am always looking for new ways to use tilapia since it is so affordable and adaptable.  Was thinking of maybe browning the fish quickly on both sides next time, just to give it a more pleasing eye appeal.  Thanks to Hope Stewar for submitting the recipe.",5
1,0,2,0,253,"I made this for my sister and brother in law&#39;s birthday. He likes anything that&#39;s peanut butter and chocolate! I found it very easy to make. It was a little tricky getting the Oreos on the bottom. I think next time I would omit the butter and just sprinkle them in the pan. I used fat free cream cheese and light cool whip, still came out great! My brother in law thought it was very rich but I thought it was perfect.",5
1,0,1,0,193,"5 stars with adjustmentsThis is the only way to make lasagna - I tried making lasagna the traditional way - what a pain.I&#39;ve been using this recipe for several years.  I use cheapy Hunts spag sauce (find it for 99 cents), sm can of tom paste and 8 oz tom sauce and add seasonings and ingredients (olives, green beans, red peppers to stretch, etc as desired).  I usually make the sauce a day or two ahead.  I&#39;ve used up to 32 oz of cottage cheese and mixed with basil and seasonings and it was fine and different combinations of cheeses.  I use an oval crockpot with no problem and if I&#39;m in a rush, have cooked on high for 3 hours and it&#39;s perfect.  Sorry so long, I can&#39;t believe I haven&#39;t reviewed before.",5
1,0,0,0,100,The whole family loved this!  I added chicken and used whole wheat linguine.  It was very yummy!,5
